nm,fp,fraction
251,mtq,0.49673
252,mtq,0.49673
253,mtq,0.49673
254,mtq,0.4902
255,mtq,0.48584
256,mtq,0.4902
257,mtq,0.50545
258,mtq,0.53377
259,mtq,0.55338
260,mtq,0.56427
261,mtq,0.57734
262,mtq,0.59041
263,mtq,0.60566
264,mtq,0.63834
265,mtq,0.66231
266,mtq,0.6732
267,mtq,0.69281
268,mtq,0.72331
269,mtq,0.74946
270,mtq,0.77342
271,mtq,0.80174
272,mtq,0.83224
273,mtq,0.86275
274,mtq,0.89325
275,mtq,0.91939
276,mtq,0.94553
277,mtq,0.96078
278,mtq,0.96732
279,mtq,0.96514
280,mtq,0.96296
281,mtq,0.96078
282,mtq,0.94771
283,mtq,0.9281
284,mtq,0.90196
285,mtq,0.86492
286,mtq,0.82135
287,mtq,0.76253
288,mtq,0.69281
289,mtq,0.61656
290,mtq,0.54466
291,mtq,0.49237
292,mtq,0.45752
293,mtq,0.42484
294,mtq,0.39434
295,mtq,0.36383
296,mtq,0.33551
297,mtq,0.31373
298,mtq,0.29194
299,mtq,0.27233
300,mtq,0.24837
301,mtq,0.22658
302,mtq,0.20479
303,mtq,0.18519
304,mtq,0.1634
305,mtq,0.14815
306,mtq,0.1329
307,mtq,0.12418
308,mtq,0.11329
309,mtq,0.10675
310,mtq,0.098039
311,mtq,0.093682
312,mtq,0.087146
313,mtq,0.082789
314,mtq,0.08061
315,mtq,0.076253
316,mtq,0.074074
317,mtq,0.074074
318,mtq,0.069717
319,mtq,0.065359
320,mtq,0.065359
321,mtq,0.063181
322,mtq,0.058824
323,mtq,0.061002
324,mtq,0.058824
325,mtq,0.058824
326,mtq,0.056645
327,mtq,0.054466
328,mtq,0.054466
329,mtq,0.054466
330,mtq,0.052288
331,mtq,0.052288
332,mtq,0.052288
333,mtq,0.050109
334,mtq,0.050109
335,mtq,0.050109
336,mtq,0.050109
337,mtq,0.052288
338,mtq,0.050109
339,mtq,0.04793
340,mtq,0.04793
341,mtq,0.050109
342,mtq,0.04793
343,mtq,0.050109
344,mtq,0.04793
345,mtq,0.04793
346,mtq,0.052288
347,mtq,0.050109
348,mtq,0.052288
349,mtq,0.052288
350,mtq,0.054466
351,mtq,0.056645
352,mtq,0.054466
353,mtq,0.054466
354,mtq,0.056645
355,mtq,0.058824
356,mtq,0.058824
357,mtq,0.063181
358,mtq,0.063181
359,mtq,0.063181
360,mtq,0.063181
361,mtq,0.065359
362,mtq,0.067538
363,mtq,0.069717
364,mtq,0.071895
365,mtq,0.074074
366,mtq,0.076253
367,mtq,0.08061
368,mtq,0.082789
369,mtq,0.087146
370,mtq,0.091503
