sample,strain,growthcondition,rfu,exp,rfu_exp
3_1,Pa299R(pMRE),NB,116,50,2.32
3_1,Pa299R(pMRE),NB,42,50,0.84
3_1,Pa299R(pMRE),NB,80,50,1.6
3_1,Pa299R(pMRE),NB,118,50,2.36
3_1,Pa299R(pMRE),NB,55,50,1.1
3_1,Pa299R(pMRE),NB,78,50,1.56
3_1,Pa299R(pMRE),NB,79,50,1.58
3_1,Pa299R(pMRE),NB,69,50,1.38
3_1,Pa299R(pMRE),NB,43,50,0.86
3_1,Pa299R(pMRE),NB,171,50,3.42
3_1,Pa299R(pMRE),NB,54,50,1.08
3_1,Pa299R(pMRE),NB,42,50,0.84
3_1,Pa299R(pMRE),NB,68,50,1.36
3_1,Pa299R(pMRE),NB,28,50,0.56
3_1,Pa299R(pMRE),NB,11,50,0.22
3_1,Pa299R(pMRE),NB,75,50,1.5
3_1,Pa299R(pMRE),NB,55,50,1.1
3_1,Pa299R(pMRE),NB,23,50,0.46
3_2,Pa299R(pMRE),NB,28,50,0.56
3_2,Pa299R(pMRE),NB,32,50,0.64
3_2,Pa299R(pMRE),NB,40,50,0.8
3_2,Pa299R(pMRE),NB,61,50,1.22
3_2,Pa299R(pMRE),NB,77,50,1.54
3_2,Pa299R(pMRE),NB,94,50,1.88
3_2,Pa299R(pMRE),NB,29,50,0.58
3_2,Pa299R(pMRE),NB,21,50,0.42
3_2,Pa299R(pMRE),NB,47,50,0.94
3_2,Pa299R(pMRE),NB,94,50,1.88
3_2,Pa299R(pMRE),NB,117,50,2.34
3_2,Pa299R(pMRE),NB,64,50,1.28
3_2,Pa299R(pMRE),NB,77,50,1.54
3_2,Pa299R(pMRE),NB,79,50,1.58
3_2,Pa299R(pMRE),NB,50,50,1
3_2,Pa299R(pMRE),NB,11,50,0.22
3_2,Pa299R(pMRE),NB,22,50,0.44
3_2,Pa299R(pMRE),NB,63,50,1.26
3_2,Pa299R(pMRE),NB,22,50,0.44
3_2,Pa299R(pMRE),NB,80,50,1.6
3_2,Pa299R(pMRE),NB,73,50,1.46
3_2,Pa299R(pMRE),NB,74,50,1.48
3_2,Pa299R(pMRE),NB,157,50,3.14
3_2,Pa299R(pMRE),NB,92,50,1.84
3_2,Pa299R(pMRE),NB,71,50,1.42
3_2,Pa299R(pMRE),NB,67,50,1.34
3_2,Pa299R(pMRE),NB,42,50,0.84
3_2,Pa299R(pMRE),NB,42,50,0.84
3_2,Pa299R(pMRE),NB,140,50,2.8
3_2,Pa299R(pMRE),NB,60,50,1.2
3_2,Pa299R(pMRE),NB,50,50,1
3_2,Pa299R(pMRE),NB,73,50,1.46
3_2,Pa299R(pMRE),NB,77,50,1.54
3_2,Pa299R(pMRE),NB,132,50,2.64
3_2,Pa299R(pMRE),NB,19,50,0.38
3_2,Pa299R(pMRE),NB,51,50,1.02
3_2,Pa299R(pMRE),NB,113,50,2.26
3_2,Pa299R(pMRE),NB,41,50,0.82
3_2,Pa299R(pMRE),NB,37,50,0.74
3_2,Pa299R(pMRE),NB,30,50,0.6
3_2,Pa299R(pMRE),NB,27,50,0.54
3_2,Pa299R(pMRE),NB,35,50,0.7
3_2,Pa299R(pMRE),NB,58,50,1.16
3_2,Pa299R(pMRE),NB,45,50,0.9
3_2,Pa299R(pMRE),NB,54,50,1.08
3_2,Pa299R(pMRE),NB,48,50,0.96
3_2,Pa299R(pMRE),NB,43,50,0.86
