nm,fp,fraction
441,mtq,0.012
442,mtq,0.0133
443,mtq,0.0149
444,mtq,0.0164
445,mtq,0.019
446,mtq,0.0221
447,mtq,0.0258
448,mtq,0.0307
449,mtq,0.0369
450,mtq,0.0448
451,mtq,0.0548
452,mtq,0.068
453,mtq,0.0835
454,mtq,0.101
455,mtq,0.125
456,mtq,0.152
457,mtq,0.186
458,mtq,0.224
459,mtq,0.267
460,mtq,0.314
461,mtq,0.37
462,mtq,0.431
463,mtq,0.496
464,mtq,0.56
465,mtq,0.629
466,mtq,0.696
467,mtq,0.76
468,mtq,0.819
469,mtq,0.869
470,mtq,0.914
471,mtq,0.95
472,mtq,0.974
473,mtq,0.993
474,mtq,0.999
475,mtq,1
476,mtq,0.993
477,mtq,0.977
478,mtq,0.957
479,mtq,0.938
480,mtq,0.915
481,mtq,0.889
482,mtq,0.864
483,mtq,0.841
484,mtq,0.817
485,mtq,0.796
486,mtq,0.776
487,mtq,0.76
488,mtq,0.749
489,mtq,0.741
490,mtq,0.738
491,mtq,0.737
492,mtq,0.739
493,mtq,0.745
494,mtq,0.751
495,mtq,0.758
496,mtq,0.768
497,mtq,0.775
498,mtq,0.78
499,mtq,0.787
500,mtq,0.792
501,mtq,0.792
502,mtq,0.795
503,mtq,0.792
504,mtq,0.786
505,mtq,0.779
506,mtq,0.769
507,mtq,0.752
508,mtq,0.736
509,mtq,0.72
510,mtq,0.699
511,mtq,0.68
512,mtq,0.658
513,mtq,0.637
514,mtq,0.615
515,mtq,0.594
516,mtq,0.572
517,mtq,0.553
518,mtq,0.531
519,mtq,0.511
520,mtq,0.494
521,mtq,0.476
522,mtq,0.46
523,mtq,0.443
524,mtq,0.43
525,mtq,0.417
526,mtq,0.403
527,mtq,0.391
528,mtq,0.381
529,mtq,0.371
530,mtq,0.363
531,mtq,0.354
532,mtq,0.346
533,mtq,0.338
534,mtq,0.332
535,mtq,0.326
536,mtq,0.318
537,mtq,0.313
538,mtq,0.306
539,mtq,0.299
540,mtq,0.294
541,mtq,0.288
542,mtq,0.28
543,mtq,0.273
544,mtq,0.267
545,mtq,0.26
546,mtq,0.253
547,mtq,0.246
548,mtq,0.238
549,mtq,0.23
550,mtq,0.224
551,mtq,0.216
552,mtq,0.208
553,mtq,0.201
554,mtq,0.193
555,mtq,0.187
556,mtq,0.18
557,mtq,0.173
558,mtq,0.166
559,mtq,0.159
560,mtq,0.153
561,mtq,0.147
562,mtq,0.141
563,mtq,0.135
564,mtq,0.131
565,mtq,0.125
566,mtq,0.122
567,mtq,0.117
568,mtq,0.113
569,mtq,0.11
570,mtq,0.106
571,mtq,0.103
572,mtq,0.0993
573,mtq,0.0967
574,mtq,0.0934
575,mtq,0.091
576,mtq,0.0883
577,mtq,0.0854
578,mtq,0.0832
579,mtq,0.0809
580,mtq,0.0791
581,mtq,0.0768
582,mtq,0.0747
583,mtq,0.0728
584,mtq,0.0705
585,mtq,0.0683
586,mtq,0.0668
587,mtq,0.0647
588,mtq,0.0629
589,mtq,0.0615
590,mtq,0.0599
591,mtq,0.0578
592,mtq,0.0557
593,mtq,0.0542
594,mtq,0.0527
595,mtq,0.0511
596,mtq,0.0501
597,mtq,0.048
598,mtq,0.0464
599,mtq,0.045
600,mtq,0.0434
601,mtq,0.0416
602,mtq,0.0407
603,mtq,0.0388
604,mtq,0.0376
605,mtq,0.0361
606,mtq,0.0348
607,mtq,0.0338
608,mtq,0.0328
609,mtq,0.0319
610,mtq,0.0304
611,mtq,0.0291
612,mtq,0.0283
613,mtq,0.0275
614,mtq,0.0265
615,mtq,0.0258
616,mtq,0.0247
617,mtq,0.0244
618,mtq,0.0232
619,mtq,0.0227
620,mtq,0.0221
621,mtq,0.0215
622,mtq,0.0206
623,mtq,0.0201
624,mtq,0.0193
625,mtq,0.019
626,mtq,0.0184
627,mtq,0.0182
628,mtq,0.0178
629,mtq,0.0171
630,mtq,0.0165
631,mtq,0.016
632,mtq,0.0158
633,mtq,0.0156
634,mtq,0.0151
635,mtq,0.0147
636,mtq,0.0144
637,mtq,0.014
638,mtq,0.0139
639,mtq,0.0134
640,mtq,0.0133
641,mtq,0.0131
642,mtq,0.0126
643,mtq,0.0124
644,mtq,0.0122
645,mtq,0.0121
646,mtq,0.0121
647,mtq,0.0116
648,mtq,0.0115
649,mtq,0.011
650,mtq,0.0108
472.59,mcl3,0.004419074
473.59,mcl3,0.00235222
474.59,mcl3,0.002209312
475.6,mcl3,0.001910798
476.6,mcl3,0.002488005
477.6,mcl3,0.00206639
478.6,mcl3,0.002600383
479.6,mcl3,0.002931415
480.6,mcl3,0.00291776
481.61,mcl3,0.003615483
482.61,mcl3,0.004064964
483.61,mcl3,0.004639824
484.61,mcl3,0.005798326
485.61,mcl3,0.006412373
486.61,mcl3,0.008312558
487.62,mcl3,0.01014746
488.62,mcl3,0.01230264
489.62,mcl3,0.01497095
490.62,mcl3,0.01916157
491.62,mcl3,0.02408871
492.63,mcl3,0.03033829
493.63,mcl3,0.03688569
494.63,mcl3,0.04749
495.63,mcl3,0.06003766
496.64,mcl3,0.07544204
497.64,mcl3,0.09581165
498.64,mcl3,0.1190294
499.64,mcl3,0.1501685
500.64,mcl3,0.1822419
501.65,mcl3,0.2225842
502.65,mcl3,0.2760869
503.65,mcl3,0.3290824
504.65,mcl3,0.399245
505.66,mcl3,0.4689894
506.66,mcl3,0.5315133
507.66,mcl3,0.6096674
508.67,mcl3,0.6892118
509.67,mcl3,0.7593231
510.67,mcl3,0.8230317
511.67,mcl3,0.885471
512.68,mcl3,0.9213558
513.68,mcl3,0.9514921
514.68,mcl3,0.9793819
515.69,mcl3,0.9977562
516.69,mcl3,1
517.69,mcl3,0.9979825
518.69,mcl3,0.9788547
519.7,mcl3,0.9588886
520.7,mcl3,0.9236866
521.7,mcl3,0.8925099
522.71,mcl3,0.8591149
523.71,mcl3,0.8277841
524.71,mcl3,0.7891253
525.72,mcl3,0.7565783
526.72,mcl3,0.7234162
527.72,mcl3,0.6911476
528.73,mcl3,0.6550914
529.73,mcl3,0.6316757
530.73,mcl3,0.6023857
531.74,mcl3,0.5751802
532.74,mcl3,0.5530546
533.75,mcl3,0.5255342
534.75,mcl3,0.5090984
535.75,mcl3,0.4888334
536.76,mcl3,0.4689346
537.76,mcl3,0.4578447
538.76,mcl3,0.4407242
539.77,mcl3,0.4262976
540.77,mcl3,0.4176001
541.78,mcl3,0.4044155
542.78,mcl3,0.3953986
543.78,mcl3,0.389433
544.79,mcl3,0.3808146
545.79,mcl3,0.3707308
546.8,mcl3,0.3651173
547.8,mcl3,0.3621913
548.8,mcl3,0.3537397
549.81,mcl3,0.3461529
550.81,mcl3,0.3409425
551.82,mcl3,0.3340301
552.82,mcl3,0.324866
553.83,mcl3,0.3156438
554.83,mcl3,0.3096799
555.84,mcl3,0.3022569
556.84,mcl3,0.2919813
557.84,mcl3,0.2802856
558.85,mcl3,0.2743526
559.85,mcl3,0.2629409
560.86,mcl3,0.2543179
561.86,mcl3,0.244464
562.87,mcl3,0.2333171
563.87,mcl3,0.2282597
564.88,mcl3,0.2131208
565.88,mcl3,0.206433
566.89,mcl3,0.1941924
567.89,mcl3,0.1863807
568.9,mcl3,0.177725
569.9,mcl3,0.1690062
570.91,mcl3,0.1603124
571.91,mcl3,0.1550488
572.92,mcl3,0.1460496
573.92,mcl3,0.1421021
574.93,mcl3,0.1329871
575.93,mcl3,0.1296094
576.94,mcl3,0.1227154
577.94,mcl3,0.114895
578.95,mcl3,0.1119722
579.95,mcl3,0.1048604
580.96,mcl3,0.1042401
581.97,mcl3,0.09997775
582.97,mcl3,0.09318568
583.98,mcl3,0.0913589
584.98,mcl3,0.08611248
585.99,mcl3,0.08490307
586.99,mcl3,0.08460959
588,mcl3,0.08072333
589,mcl3,0.07476191
590.01,mcl3,0.07178061
591.02,mcl3,0.07058499
592.02,mcl3,0.0669722
593.03,mcl3,0.0659572
594.03,mcl3,0.06308591
595.04,mcl3,0.06147552
596.05,mcl3,0.06085346
597.05,mcl3,0.05765198
598.06,mcl3,0.0571888
599.06,mcl3,0.05225927
600.07,mcl3,0.05121325
601.08,mcl3,0.04964555
602.08,mcl3,0.05017608
603.09,mcl3,0.04656002
604.1,mcl3,0.0457882
605.1,mcl3,0.04420776
606.11,mcl3,0.04259185
607.12,mcl3,0.04141302
608.12,mcl3,0.04004362
609.13,mcl3,0.03789327
610.13,mcl3,0.03640131
611.14,mcl3,0.03363084
612.15,mcl3,0.03426256
613.15,mcl3,0.03214525
614.16,mcl3,0.03116654
615.17,mcl3,0.02999871
616.17,mcl3,0.02830732
617.18,mcl3,0.02808632
618.19,mcl3,0.02495298
619.2,mcl3,0.02469299
620.2,mcl3,0.02541502
621.21,mcl3,0.02229643
622.22,mcl3,0.0222862
623.22,mcl3,0.02176809
624.23,mcl3,0.01965667
625.24,mcl3,0.02018213
626.24,mcl3,0.01906805
627.25,mcl3,0.01937143
628.26,mcl3,0.01746634
629.27,mcl3,0.01647549
630.27,mcl3,0.015734
631.28,mcl3,0.01599187
632.29,mcl3,0.01475381
633.3,mcl3,0.01507452
634.3,mcl3,0.01330454
635.31,mcl3,0.01331284
636.32,mcl3,0.01319088
637.33,mcl3,0.01240194
638.33,mcl3,0.01056404
639.34,mcl3,0.01206779
640.35,mcl3,0.01103876
641.36,mcl3,0.01055317
642.36,mcl3,0.01074356
643.37,mcl3,0.009923206
644.38,mcl3,0.009935655
645.39,mcl3,0.01027585
646.4,mcl3,0.009811099
647.4,mcl3,0.009296423
648.41,mcl3,0.009998047
490,syfp,0.003
491,syfp,0.003
492,syfp,0.003
493,syfp,0.004
494,syfp,0.004
495,syfp,0.005
496,syfp,0.006
497,syfp,0.007
498,syfp,0.009
499,syfp,0.01
500,syfp,0.013
501,syfp,0.016
502,syfp,0.019
503,syfp,0.024
504,syfp,0.031
505,syfp,0.038
506,syfp,0.048
507,syfp,0.059
508,syfp,0.075
509,syfp,0.093
510,syfp,0.117
511,syfp,0.143
512,syfp,0.176
513,syfp,0.214
514,syfp,0.262
515,syfp,0.311
516,syfp,0.372
517,syfp,0.43
518,syfp,0.501
519,syfp,0.569
520,syfp,0.643
521,syfp,0.71
522,syfp,0.775
523,syfp,0.835
524,syfp,0.889
525,syfp,0.929
526,syfp,0.96
527,syfp,0.984
528,syfp,0.998
529,syfp,1
530,syfp,0.997
531,syfp,0.984
532,syfp,0.962
533,syfp,0.938
534,syfp,0.911
535,syfp,0.882
536,syfp,0.846
537,syfp,0.815
538,syfp,0.78
539,syfp,0.747
540,syfp,0.712
541,syfp,0.68
542,syfp,0.649
543,syfp,0.621
544,syfp,0.592
545,syfp,0.565
546,syfp,0.542
547,syfp,0.519
548,syfp,0.496
549,syfp,0.479
550,syfp,0.461
551,syfp,0.444
552,syfp,0.431
553,syfp,0.416
554,syfp,0.404
555,syfp,0.394
556,syfp,0.383
557,syfp,0.375
558,syfp,0.367
559,syfp,0.361
560,syfp,0.353
561,syfp,0.346
562,syfp,0.34
563,syfp,0.334
564,syfp,0.328
565,syfp,0.321
566,syfp,0.315
567,syfp,0.309
568,syfp,0.302
569,syfp,0.294
570,syfp,0.287
571,syfp,0.279
572,syfp,0.271
573,syfp,0.261
574,syfp,0.253
575,syfp,0.244
576,syfp,0.235
577,syfp,0.228
578,syfp,0.218
579,syfp,0.212
580,syfp,0.203
581,syfp,0.194
582,syfp,0.188
583,syfp,0.179
584,syfp,0.171
585,syfp,0.165
586,syfp,0.157
587,syfp,0.151
588,syfp,0.144
589,syfp,0.139
590,syfp,0.133
591,syfp,0.128
592,syfp,0.122
593,syfp,0.117
594,syfp,0.111
595,syfp,0.108
596,syfp,0.103
597,syfp,0.099
598,syfp,0.095
599,syfp,0.092
600,syfp,0.088
601,syfp,0.085
602,syfp,0.082
603,syfp,0.08
604,syfp,0.076
605,syfp,0.074
606,syfp,0.072
607,syfp,0.069
608,syfp,0.067
609,syfp,0.066
610,syfp,0.063
611,syfp,0.061
612,syfp,0.059
613,syfp,0.058
614,syfp,0.056
615,syfp,0.054
616,syfp,0.053
617,syfp,0.052
618,syfp,0.05
619,syfp,0.048
620,syfp,0.046
621,syfp,0.046
622,syfp,0.044
623,syfp,0.043
624,syfp,0.042
625,syfp,0.041
626,syfp,0.039
627,syfp,0.038
628,syfp,0.037
629,syfp,0.036
630,syfp,0.035
631,syfp,0.034
632,syfp,0.033
633,syfp,0.032
634,syfp,0.031
635,syfp,0.03
636,syfp,0.029
637,syfp,0.028
638,syfp,0.027
639,syfp,0.026
640,syfp,0.025
641,syfp,0.025
642,syfp,0.024
643,syfp,0.023
644,syfp,0.022
645,syfp,0.022
646,syfp,0.021
647,syfp,0.02
648,syfp,0.02
649,syfp,0.019
650,syfp,0.018
651,syfp,0.018
652,syfp,0.017
653,syfp,0.017
654,syfp,0.016
655,syfp,0.016
656,syfp,0.015
657,syfp,0.015
658,syfp,0.014
659,syfp,0.014
660,syfp,0.014
661,syfp,0.013
662,syfp,0.013
663,syfp,0.013
664,syfp,0.012
665,syfp,0.012
666,syfp,0.012
667,syfp,0.011
668,syfp,0.011
669,syfp,0.011
670,syfp,0.011
671,syfp,0.01
672,syfp,0.01
673,syfp,0.01
674,syfp,0.01
675,syfp,0.009
676,syfp,0.009
677,syfp,0.009
678,syfp,0.009
679,syfp,0.008
680,syfp,0.009
681,syfp,0.008
682,syfp,0.008
683,syfp,0.008
684,syfp,0.008
685,syfp,0.008
686,syfp,0.008
687,syfp,0.007
688,syfp,0.007
689,syfp,0.008
690,syfp,0.007
691,syfp,0.007
692,syfp,0.007
693,syfp,0.007
694,syfp,0.006
695,syfp,0.007
696,syfp,0.006
697,syfp,0.006
698,syfp,0.006
699,syfp,0.006
700,syfp,0.006
537.76,mor,0.1095211
538.76,mor,0.1242895
539.77,mor,0.1469034
540.77,mor,0.1755478
541.78,mor,0.2066167
542.78,mor,0.2367922
543.78,mor,0.2730252
544.79,mor,0.3142883
545.79,mor,0.3618911
546.8,mor,0.4077319
547.8,mor,0.4684028
548.8,mor,0.5172393
549.81,mor,0.5792604
550.81,mor,0.6357374
551.82,mor,0.6928346
552.82,mor,0.7397308
553.83,mor,0.7984623
554.83,mor,0.8350683
555.84,mor,0.8908569
556.84,mor,0.9185118
557.84,mor,0.9505318
558.85,mor,0.9727024
559.85,mor,0.9923683
560.86,mor,0.9899144
561.86,mor,1
562.87,mor,0.9825155
563.87,mor,0.9855292
564.88,mor,0.9672564
565.88,mor,0.9496176
566.89,mor,0.9178519
567.89,mor,0.9127683
568.9,mor,0.8752448
569.9,mor,0.8578499
570.91,mor,0.8177317
571.91,mor,0.7923461
572.92,mor,0.76151
573.92,mor,0.739682
574.93,mor,0.71249
575.93,mor,0.6873469
576.94,mor,0.6573018
577.94,mor,0.635699
578.95,mor,0.6195533
579.95,mor,0.5895921
580.96,mor,0.5851066
581.97,mor,0.5664645
582.97,mor,0.5558855
583.98,mor,0.5348465
584.98,mor,0.5393584
585.99,mor,0.5189921
586.99,mor,0.5065649
588,mor,0.5041492
589,mor,0.4908012
590.01,mor,0.4929456
591.02,mor,0.4898363
592.02,mor,0.478327
593.03,mor,0.470119
594.03,mor,0.4686295
595.04,mor,0.4686035
596.05,mor,0.4557144
597.05,mor,0.4578192
598.06,mor,0.4481003
599.06,mor,0.4411505
600.07,mor,0.4382074
601.08,mor,0.4307479
602.08,mor,0.4237593
603.09,mor,0.417244
604.1,mor,0.4023164
605.1,mor,0.403474
606.11,mor,0.3956834
607.12,mor,0.3851645
608.12,mor,0.3834249
609.13,mor,0.3740734
610.13,mor,0.3627443
611.14,mor,0.3524
612.15,mor,0.3476763
613.15,mor,0.3383405
614.16,mor,0.3190886
615.17,mor,0.3142928
616.17,mor,0.3062753
617.18,mor,0.2945472
618.19,mor,0.279418
619.2,mor,0.2674557
620.2,mor,0.2573321
621.21,mor,0.250583
622.22,mor,0.2417537
623.22,mor,0.2368157
624.23,mor,0.2233913
625.24,mor,0.2224799
626.24,mor,0.2107552
627.25,mor,0.2017497
628.26,mor,0.1943294
629.27,mor,0.1866214
630.27,mor,0.1777563
631.28,mor,0.1701833
632.29,mor,0.1639358
633.3,mor,0.163847
634.3,mor,0.152775
635.31,mor,0.1512524
636.32,mor,0.1481951
637.33,mor,0.1430784
638.33,mor,0.1358332
639.34,mor,0.1346597
640.35,mor,0.1310597
641.36,mor,0.1247558
642.36,mor,0.120997
643.37,mor,0.117986
644.38,mor,0.1194244
645.39,mor,0.1115899
646.4,mor,0.1096393
647.4,mor,0.1057672
648.41,mor,0.1022616
649.42,mor,0.09731624
650.43,mor,0.09501127
651.44,mor,0.09447543
652.44,mor,0.09111688
653.45,mor,0.08809461
654.46,mor,0.08810278
655.47,mor,0.08180866
656.48,mor,0.07996513
657.49,mor,0.08159268
658.49,mor,0.07968226
659.5,mor,0.07161424
660.51,mor,0.06818472
661.52,mor,0.06498941
662.53,mor,0.06804265
663.54,mor,0.0652791
664.55,mor,0.05984594
665.55,mor,0.06008387
666.56,mor,0.05874542
667.57,mor,0.05554321
668.58,mor,0.04962332
669.59,mor,0.05259332
670.6,mor,0.04993933
671.61,mor,0.05107641
672.62,mor,0.04222086
673.62,mor,0.0481805
674.63,mor,0.04252736
675.64,mor,0.04233211
676.65,mor,0.04325899
677.66,mor,0.03991132
678.67,mor,0.04043245
679.68,mor,0.03721293
680.69,mor,0.03571544
681.7,mor,0.03425575
682.71,mor,0.03679527
683.72,mor,0.0305662
684.73,mor,0.02933018
685.74,mor,0.02805139
686.74,mor,0.02557817
687.75,mor,0.02761771
688.76,mor,0.02469715
689.77,mor,0.02814246
690.78,mor,0.02552849
691.79,mor,0.02565655
692.8,mor,0.02390529
693.81,mor,0.02344425
694.82,mor,0.02200853
695.83,mor,0.02007651
696.84,mor,0.02348895
697.85,mor,0.02195705
698.86,mor,0.01747175
699.87,mor,0.02150507
700.88,mor,0.0195309
701.89,mor,0.01588817
702.9,mor,0.01841086
703.91,mor,0.01883934
704.92,mor,0.01634221
705.93,mor,0.01623333
706.94,mor,0.01467701
707.95,mor,0.01553716
708.96,mor,0.01401933
709.97,mor,0.01256135
710.98,mor,0.01346776
711.99,mor,0.01190537
713,mor,0.01249496
714.01,mor,0.01397054
715.03,mor,0.01040535
716.04,mor,0.01414529
717.05,mor,0.01232482
718.06,mor,0.01305409
719.07,mor,0.01073556
720.08,mor,0.01210589
721.09,mor,0.009517021
722.1,mor,0.01110105
723.11,mor,0.01123897
724.12,mor,0.0107787
725.13,mor,0.009973333
726.14,mor,0.01023352
