strain,rfu
wt,-58.689976
wt,-67.193676
wt,88.2450882
wt,4.83308981
wt,-42.578279
wt,0.39138943
wt,95.5091714
wt,-33.050526
pmre135,13620.4352
pmre135,12539.1085
pmre135,17737.9209
pmre135,11664.9401
pmre135,15771.5512
pmre135,15377.7856
pmre135,15694.2415
pmre135,15178.8393
pmre145,36552.5449
pmre145,31936.4961
pmre145,34373.0962
pmre145,44110.555
pmre145,37263.7495
pmre145,47548.6284
pmre145,36552.4492
pmre145,35597.1072
pmre155,16647.0666
pmre155,17062.9192
pmre155,16665.8511
pmre155,16053.6567
pmre155,16884.1584
pmre155,16252.3861
pmre155,13214.8189
pmre155,14449.2531
pmre165,14820.9271
pmre165,14308.2248
pmre165,14954.1001
pmre165,15265.3131
pmre165,13364.2523
pmre165,13619.9202
pmre165,20574.9906
pmre165,17765.8824
tn5-145,1797.4048
tn5-145,1778.2794
tn5-145,2239.5633
tn5-145,2110.4239
tn5-145,2435.3642
tn5-145,2264.4123
tn5-145,3317.9966
tn5-145,2920.8997
tn5-145,3282.7554
tn5-145,3077.7867
tn7-145,3526.395
tn7-145,2301.4069
tn7-145,3723.3796
tn7-145,2309.8206
tn7-145,2905.3071
tn7-145,2785.2641
tn7-145,2533.1448
tn7-145,2570.6473
tn7-145,2792.0279
tn7-145,3177.6205
