nm,Em_mSc,Abs_mSc,Em_mO2,Abs_mO2,Em_sYFP2,Abs_sYFP2,Em_mCl3,Abs_mCl3,Em_sGFP2,Abs_sGFP2,Em_mTq2,Abs_mTq2,Em_mCar,Abs_mCar,Em_mTagBFP2,Abs_mTagBFP2
570,20.21264174,,,,,,,,,,,,,,,
571.0200195,23.80399819,,,,,,,,,,,,,,,
572.0499878,28.36641089,,,,,,,,,,,,,,,
572.9400024,33.74077992,,,,,,,,,,,,,,,
573.9699707,39.70444937,,,,,,,,,,,,,,,
575,45.85561465,,,,,,,,,,,,,,,
576.0200195,52.22150798,,,,,,,,,,,,,,,
577.0499878,58.18139005,,,,,,,,,,,,,,,
577.9400024,64.25137442,,,,,,,,,,,,,,,
578.9699707,69.81619897,,,,,,,,,,,,,,,
580,75.01403679,,,,,,,,,,,,,,,
581.0200195,79.90016436,,,,,,,,,,,,,,,
582.0499878,84.14231536,,,,,,,,,,,,,,,
582.9400024,87.84024314,,,,,,,,,,,,,,,
583.9699707,91.27454978,,,,,,,,,,,,,,,
585,93.81597535,,,,,,,,,,,,,,,
586.0200195,95.94671938,,,,,,,,,,,,,,,
587.0499878,97.76211774,,,,,,,,,,,,,,,
587.9400024,98.94530454,,,,,,,,,,,,,,,
588.9699707,99.71562112,,,,,,,,,,,,,,,
590,100,,,,,,,,,,,,,,,
591.0200195,99.60506487,,,,,,,,,,,,,,,
592.0499878,98.84281062,,,,,,,,,,,,,,,
592.9400024,98.26251446,,,,,,,,,,,,,,,
593.9699707,97.22119533,,,,,,,,,,,,,,,
595,96.19626136,,,,,,,,,,,,,,,
596.0200195,94.65910597,,,,,,,,,,,,,,,
597.0499878,92.44262348,,,,,,,,,,,,,,,
597.9400024,90.32923824,,,,,,,,,,,,,,,
598.9699707,88.40432093,,,,,,,,,,,,,,,
600,86.14224074,,,,,,,,,,,,,,,
601.0200195,83.9863078,,,,,,,,,,,,,,,
602.0499878,81.39881481,,,,,,,,,,,,,,,
602.9400024,78.84005767,,,,,,,,,,,,,,,
603.9699707,76.15590419,,,,,,,,,,,,,,,
605,73.76883062,,,,,,,,,,,,,,,
606.0200195,71.39087481,,,,,,,,,,,,,,,
607.0499878,69.24442261,,,,,,,,,,,,,,,
607.9400024,66.68857899,,,,,,,,,,,,,,,
608.9699707,64.3129176,,,,,,,,,,,,,,,
610,62.1938373,,,,,,,,,,,,,,,
611.0200195,60.04086772,,,,,,,,,,,,,,,
612.0499878,57.98411521,,,,,,,,,,,,,,,
612.9400024,56.0474439,,,,,,,,,,,,,,,
613.9699707,53.93431801,,,,,,,,,,,,,,,
615,51.97879481,,,,,,,,,,,,,,,
616.0200195,49.85562808,,,,,,,,,,,,,,,
617.0499878,48.12982874,,,,,,,,,,,,,,,
617.9400024,46.21885469,,,,,,,,,,,,,,,
618.9699707,44.57223793,,,,,,,,,,,,,,,
620,42.60818863,,,,,,,,,,,,,,,
621.0200195,40.64521696,,,,,,,,,,,,,,,
622.0499878,38.61630017,,,,,,,,,,,,,,,
622.9400024,36.90622288,,,,,,,,,,,,,,,
623.9699707,35.02916439,,,,,,,,,,,,,,,
625,33.41814193,,,,,,,,,,,,,,,
626.0200195,32.05611545,,,,,,,,,,,,,,,
627.0499878,30.52024673,,,,,,,,,,,,,,,
627.9400024,28.92007528,,,,,,,,,,,,,,,
628.9699707,27.63623723,,,,,,,,,,,,,,,
630,26.22566887,,,,,,,,,,,,,,,
631.0100098,25.08792081,,,,,,,,,,,,,,,
